IO, 10, 1970090118,   , BEST,   0, 223N,  873E,-999
IO, 10, 1970090200,   , BEST,   0, 224N,  871E,-999
IO, 10, 1970090206,   , BEST,   0, 226N,  868E,-999
IO, 10, 1970090212,   , BEST,   0, 227N,  865E,-999
IO, 10, 1970090218,   , BEST,   0, 229N,  862E,-999
IO, 10, 1970090300,   , BEST,   0, 230N,  859E,-999
IO, 10, 1970090306,   , BEST,   0, 231N,  854E,-999
IO, 10, 1970090312,   , BEST,   0, 231N,  845E,-999
IO, 10, 1970090318,   , BEST,   0, 231N,  837E,-999
IO, 10, 1970090400,   , BEST,   0, 231N,  828E,-999
IO, 10, 1970090406,   , BEST,   0, 231N,  820E,-999
IO, 10, 1970090412,   , BEST,   0, 230N,  811E,-999
IO, 10, 1970090418,   , BEST,   0, 230N,  804E,-999
IO, 10, 1970090500,   , BEST,   0, 230N,  802E,-999
IO, 10, 1970090506,   , BEST,   0, 230N,  794E,-999
IO, 10, 1970090512,   , BEST,   0, 229N,  783E,-999
IO, 10, 1970090518,   , BEST,   0, 229N,  771E,-999
IO, 10, 1970090600,   , BEST,   0, 228N,  760E,-999
IO, 10, 1970090606,   , BEST,   0, 228N,  749E,-999
IO, 10, 1970090612,   , BEST,   0, 228N,  740E,-999
IO, 10, 1970090618,   , BEST,   0, 228N,  732E,-999
IO, 10, 1970090700,   , BEST,   0, 231N,  724E,-999
IO, 10, 1970090706,   , BEST,   0, 238N,  721E,-999
IO, 10, 1970090712,   , BEST,   0, 248N,  720E,-999
IO, 10, 1970090718,   , BEST,   0, 256N,  718E,-999
IO, 10, 1970090800,   , BEST,   0, 262N,  715E,-999
IO, 10, 1970090806,   , BEST,   0, 261N,  709E,-999
IO, 10, 1970090812,   , BEST,   0, 252N,  697E,-999
IO, 10, 1970090818,   , BEST,   0, 248N,  690E,-999
IO, 10, 1970090900,   , BEST,   0, 245N,  687E,-999
IO, 10, 1970090906,   , BEST,   0, 242N,  680E,-999
IO, 10, 1970090912,   , BEST,   0, 239N,  671E,-999
IO, 10, 1970090918,   , BEST,   0, 237N,  663E,-999
IO, 10, 1970091000,   , BEST,   0, 237N,  653E,-999
IO, 10, 1970091006,   , BEST,   0, 235N,  645E,-999
IO, 10, 1970091012,   , BEST,   0, 234N,  639E,-999
IO, 10, 1970091018,   , BEST,   0, 232N,  635E,-999
IO, 10, 1970091100,   , BEST,   0, 231N,  631E,-999
IO, 10, 1970091106,   , BEST,   0, 230N,  628E,-999
IO, 10, 1970091112,   , BEST,   0, 230N,  626E,-999
IO, 10, 1970091118,   , BEST,   0, 230N,  624E,-999
IO, 10, 1970091200,   , BEST,   0, 229N,  620E,-999
IO, 10, 1970091206,   , BEST,   0, 229N,  618E,-999
IO, 10, 1970091212,   , BEST,   0, 229N,  615E,-999
IO, 10, 1970091218,   , BEST,   0, 229N,  613E,-999
IO, 10, 1970091300,   , BEST,   0, 229N,  610E,-999
