IO, 14, 1972111506,   , BEST,   0,  96N,  902E,   0
IO, 14, 1972111512,   , BEST,   0,  97N,  898E,   0
IO, 14, 1972111518,   , BEST,   0,  99N,  896E,   0
IO, 14, 1972111600,   , BEST,   0, 100N,  896E,  45,    0, XX
IO, 14, 1972111606,   , BEST,   0, 102N,  893E,  45,    0, XX
IO, 14, 1972111612,   , BEST,   0, 105N,  889E,  50,    0, XX
IO, 14, 1972111618,   , BEST,   0, 107N,  886E,  55,    0, XX
IO, 14, 1972111700,   , BEST,   0, 109N,  885E,  60,    0, XX
IO, 14, 1972111706,   , BEST,   0, 111N,  882E,  60,    0, XX
IO, 14, 1972111712,   , BEST,   0, 115N,  878E,  60,    0, XX
IO, 14, 1972111718,   , BEST,   0, 117N,  876E,  60,    0, XX
IO, 14, 1972111800,   , BEST,   0, 120N,  875E,  65,    0, XX
IO, 14, 1972111806,   , BEST,   0, 122N,  873E,  65,    0, XX
IO, 14, 1972111812,   , BEST,   0, 124N,  873E,  65,    0, XX
IO, 14, 1972111818,   , BEST,   0, 126N,  871E,  65,    0, XX
IO, 14, 1972111900,   , BEST,   0, 129N,  870E,  65,    0, XX
IO, 14, 1972111906,   , BEST,   0, 133N,  869E,  70,    0, XX
IO, 14, 1972111912,   , BEST,   0, 136N,  869E,  70,    0, XX
IO, 14, 1972111918,   , BEST,   0, 139N,  870E,  70,    0, XX
IO, 14, 1972112000,   , BEST,   0, 141N,  873E,  70,    0, XX
IO, 14, 1972112006,   , BEST,   0, 141N,  874E,  70,    0, XX
IO, 14, 1972112012,   , BEST,   0, 141N,  874E,  65,    0, XX
IO, 14, 1972112018,   , BEST,   0, 141N,  874E,  65,    0, XX
IO, 14, 1972112100,   , BEST,   0, 141N,  874E,  70,    0, XX
IO, 14, 1972112106,   , BEST,   0, 139N,  869E,  80,    0, XX
IO, 14, 1972112112,   , BEST,   0, 129N,  848E,  90,    0, XX
IO, 14, 1972112118,   , BEST,   0, 128N,  836E,  90,    0, XX
IO, 14, 1972112200,   , BEST,   0, 130N,  828E,  75,    0, XX
IO, 14, 1972112206,   , BEST,   0, 132N,  820E,  65,    0, XX
IO, 14, 1972112212,   , BEST,   0, 135N,  811E,  45,    0, XX
IO, 14, 1972112218,   , BEST,   0, 137N,  803E,  40,    0, XX
IO, 14, 1972112300,   , BEST,   0, 140N,  794E,  35,    0, XX
