IO, 15, 1972112606,   , BEST,   0, 139N,  914E,   0
IO, 15, 1972112612,   , BEST,   0, 142N,  914E,   0
IO, 15, 1972112618,   , BEST,   0, 146N,  914E,   0
IO, 15, 1972112700,   , BEST,   0, 150N,  914E,   0
IO, 15, 1972112706,   , BEST,   0, 153N,  914E,   0
IO, 15, 1972112712,   , BEST,   0, 153N,  914E,   0
IO, 15, 1972112718,   , BEST,   0, 154N,  914E,   0
IO, 15, 1972112800,   , BEST,   0, 158N,  914E,   0
IO, 15, 1972112806,   , BEST,   0, 165N,  914E,   0
IO, 15, 1972112812,   , BEST,   0, 173N,  915E,   0
IO, 15, 1972112818,   , BEST,   0, 179N,  916E,   0
IO, 15, 1972112900,   , BEST,   0, 184N,  918E,   0
IO, 15, 1972112906,   , BEST,   0, 188N,  920E,   0
IO, 15, 1972112912,   , BEST,   0, 192N,  924E,   0
