IO, 12, 1973110312,   , BEST,   0,  71N,  908E,   0
IO, 12, 1973110318,   , BEST,   0,  73N,  905E,   0
IO, 12, 1973110400,   , BEST,   0,  77N,  901E,   0
IO, 12, 1973110406,   , BEST,   0,  81N,  897E,  35,    0, XX
IO, 12, 1973110412,   , BEST,   0,  86N,  893E,  40,    0, XX
IO, 12, 1973110418,   , BEST,   0,  90N,  889E,  50,    0, XX
IO, 12, 1973110500,   , BEST,   0,  95N,  885E,  55,    0, XX
IO, 12, 1973110506,   , BEST,   0, 102N,  881E,  60,    0, XX
IO, 12, 1973110512,   , BEST,   0, 110N,  878E,  60,    0, XX
IO, 12, 1973110518,   , BEST,   0, 116N,  875E,  60,    0, XX
IO, 12, 1973110600,   , BEST,   0, 122N,  874E,  60,    0, XX
IO, 12, 1973110606,   , BEST,   0, 128N,  874E,  60,    0, XX
IO, 12, 1973110612,   , BEST,   0, 135N,  874E,  60,    0, XX
IO, 12, 1973110618,   , BEST,   0, 141N,  875E,  55,    0, XX
IO, 12, 1973110700,   , BEST,   0, 147N,  877E,  55,    0, XX
IO, 12, 1973110706,   , BEST,   0, 159N,  879E,  55,    0, XX
IO, 12, 1973110712,   , BEST,   0, 171N,  882E,  55,    0, XX
IO, 12, 1973110718,   , BEST,   0, 176N,  884E,  50,    0, XX
IO, 12, 1973110800,   , BEST,   0, 180N,  883E,  45,    0, XX
IO, 12, 1973110806,   , BEST,   0, 188N,  879E,  45,    0, XX
IO, 12, 1973110812,   , BEST,   0, 196N,  874E,  40,    0, XX
IO, 12, 1973110818,   , BEST,   0, 201N,  869E,  30,    0, XX
IO, 12, 1973110900,   , BEST,   0, 205N,  863E,   0,    0, XX
