IO, 14, 1973120500,   , BEST,   0,  74N,  882E,   0
IO, 14, 1973120506,   , BEST,   0,  77N,  876E,   0
IO, 14, 1973120512,   , BEST,   0,  81N,  871E,   0
IO, 14, 1973120518,   , BEST,   0,  84N,  867E,   0
IO, 14, 1973120600,   , BEST,   0,  88N,  864E,  35,    0, XX
IO, 14, 1973120606,   , BEST,   0,  93N,  863E,  40,    0, XX
IO, 14, 1973120612,   , BEST,   0,  98N,  861E,  45,    0, XX
IO, 14, 1973120618,   , BEST,   0, 102N,  860E,  50,    0, XX
IO, 14, 1973120700,   , BEST,   0, 108N,  858E,  55,    0, XX
IO, 14, 1973120706,   , BEST,   0, 117N,  858E,  60,    0, XX
IO, 14, 1973120712,   , BEST,   0, 127N,  858E,  60,    0, XX
IO, 14, 1973120718,   , BEST,   0, 136N,  858E,  60,    0, XX
IO, 14, 1973120800,   , BEST,   0, 146N,  859E,  60,    0, XX
IO, 14, 1973120806,   , BEST,   0, 157N,  861E,  55,    0, XX
IO, 14, 1973120812,   , BEST,   0, 170N,  864E,  55,    0, XX
IO, 14, 1973120818,   , BEST,   0, 184N,  870E,  55,    0, XX
IO, 14, 1973120900,   , BEST,   0, 200N,  880E,  50,    0, XX
IO, 14, 1973120906,   , BEST,   0, 216N,  893E,  45,    0, XX
IO, 14, 1973120912,   , BEST,   0, 233N,  909E,   0
