IO, 12, 1974112300,   , BEST,   0, 106N,  883E,   0
IO, 12, 1974112306,   , BEST,   0, 106N,  883E,   0
IO, 12, 1974112312,   , BEST,   0, 106N,  880E,   0
IO, 12, 1974112318,   , BEST,   0, 106N,  875E,   0
IO, 12, 1974112400,   , BEST,   0, 106N,  868E,   0
IO, 12, 1974112406,   , BEST,   0, 108N,  859E,   0
IO, 12, 1974112412,   , BEST,   0, 111N,  850E,   0
IO, 12, 1974112418,   , BEST,   0, 115N,  845E,  35,    0, XX
IO, 12, 1974112500,   , BEST,   0, 121N,  841E,  40,    0, XX
IO, 12, 1974112506,   , BEST,   0, 129N,  839E,  45,    0, XX
IO, 12, 1974112512,   , BEST,   0, 137N,  840E,  45,    0, XX
IO, 12, 1974112518,   , BEST,   0, 139N,  848E,  50,    0, XX
IO, 12, 1974112600,   , BEST,   0, 140N,  856E,  55,    0, XX
IO, 12, 1974112606,   , BEST,   0, 145N,  858E,  60,    0, XX
IO, 12, 1974112612,   , BEST,   0, 151N,  860E,  60,    0, XX
IO, 12, 1974112618,   , BEST,   0, 158N,  863E,  60,    0, XX
IO, 12, 1974112700,   , BEST,   0, 167N,  868E,  65,    0, XX
IO, 12, 1974112706,   , BEST,   0, 180N,  877E,  70,    0, XX
IO, 12, 1974112712,   , BEST,   0, 193N,  886E,  70,    0, XX
IO, 12, 1974112718,   , BEST,   0, 202N,  892E,  75,    0, XX
IO, 12, 1974112800,   , BEST,   0, 211N,  899E,  70,    0, XX
IO, 12, 1974112806,   , BEST,   0, 222N,  905E,  65,    0, XX
IO, 12, 1974112812,   , BEST,   0, 234N,  912E,   0
