IO, 02, 1975050100,   , BEST,   0,  85N,  715E,   0
IO, 02, 1975050106,   , BEST,   0,  94N,  713E,   0
IO, 02, 1975050112,   , BEST,   0, 100N,  712E,   0
IO, 02, 1975050118,   , BEST,   0, 103N,  711E,   0
IO, 02, 1975050200,   , BEST,   0, 105N,  711E,   0
IO, 02, 1975050206,   , BEST,   0, 105N,  711E,  35,    0, XX
IO, 02, 1975050212,   , BEST,   0, 105N,  711E,  40,    0, XX
IO, 02, 1975050218,   , BEST,   0, 107N,  711E,  45,    0, XX
IO, 02, 1975050300,   , BEST,   0, 109N,  710E,  50,    0, XX
IO, 02, 1975050306,   , BEST,   0, 113N,  709E,  50,    0, XX
IO, 02, 1975050312,   , BEST,   0, 116N,  707E,  55,    0, XX
IO, 02, 1975050318,   , BEST,   0, 118N,  707E,  60,    0, XX
IO, 02, 1975050400,   , BEST,   0, 119N,  706E,  65,    0, XX
IO, 02, 1975050406,   , BEST,   0, 122N,  705E,  65,    0, XX
IO, 02, 1975050412,   , BEST,   0, 125N,  704E,  70,    0, XX
IO, 02, 1975050418,   , BEST,   0, 130N,  703E,  70,    0, XX
IO, 02, 1975050500,   , BEST,   0, 134N,  701E,  75,    0, XX
IO, 02, 1975050506,   , BEST,   0, 137N,  700E,  80,    0, XX
IO, 02, 1975050512,   , BEST,   0, 140N,  698E,  85,    0, XX
IO, 02, 1975050518,   , BEST,   0, 143N,  682E,  85,    0, XX
IO, 02, 1975050600,   , BEST,   0, 144N,  665E,  80,    0, XX
IO, 02, 1975050606,   , BEST,   0, 142N,  676E,  75,    0, XX
IO, 02, 1975050612,   , BEST,   0, 140N,  685E,  70,    0, XX
IO, 02, 1975050618,   , BEST,   0, 138N,  678E,  65,    0, XX
IO, 02, 1975050700,   , BEST,   0, 136N,  672E,  70,    0, XX
IO, 02, 1975050706,   , BEST,   0, 137N,  666E,  75,    0, XX
IO, 02, 1975050712,   , BEST,   0, 140N,  660E,  80,    0, XX
IO, 02, 1975050718,   , BEST,   0, 140N,  657E,  85,    0, XX
IO, 02, 1975050800,   , BEST,   0, 141N,  656E,  90,    0, XX
IO, 02, 1975050806,   , BEST,   0, 145N,  653E,  95,    0, XX
IO, 02, 1975050812,   , BEST,   0, 150N,  650E,  90,    0, XX
IO, 02, 1975050818,   , BEST,   0, 152N,  649E,  85,    0, XX
IO, 02, 1975050900,   , BEST,   0, 154N,  648E,  80,    0, XX
IO, 02, 1975050906,   , BEST,   0, 157N,  646E,  75,    0, XX
IO, 02, 1975050912,   , BEST,   0, 160N,  645E,  70,    0, XX
IO, 02, 1975050918,   , BEST,   0, 162N,  645E,  65,    0, XX
IO, 02, 1975051000,   , BEST,   0, 164N,  645E,  60,    0, XX
IO, 02, 1975051006,   , BEST,   0, 167N,  645E,  55,    0, XX
IO, 02, 1975051012,   , BEST,   0, 170N,  645E,  50,    0, XX
IO, 02, 1975051018,   , BEST,   0, 174N,  645E,  45,    0, XX
IO, 02, 1975051100,   , BEST,   0, 179N,  645E,  40,    0, XX
IO, 02, 1975051106,   , BEST,   0, 186N,  645E,  35,    0, XX
IO, 02, 1975051112,   , BEST,   0, 194N,  646E,  30,    0, XX
