IO, 03, 1975050412,   , BEST,   0, 125N,  960E,   0
IO, 03, 1975050418,   , BEST,   0, 126N,  962E,   0
IO, 03, 1975050500,   , BEST,   0, 129N,  960E,   0
IO, 03, 1975050506,   , BEST,   0, 134N,  955E,   0
IO, 03, 1975050512,   , BEST,   0, 140N,  950E,   0
IO, 03, 1975050518,   , BEST,   0, 145N,  945E,  35,    0, XX
IO, 03, 1975050600,   , BEST,   0, 149N,  941E,  40,    0, XX
IO, 03, 1975050606,   , BEST,   0, 153N,  933E,  50,    0, XX
IO, 03, 1975050612,   , BEST,   0, 156N,  926E,  65,    0, XX
IO, 03, 1975050618,   , BEST,   0, 158N,  929E,  75,    0, XX
IO, 03, 1975050700,   , BEST,   0, 159N,  934E,  75,    0, XX
IO, 03, 1975050706,   , BEST,   0, 161N,  935E,  70,    0, XX
IO, 03, 1975050712,   , BEST,   0, 165N,  937E,  65,    0, XX
IO, 03, 1975050718,   , BEST,   0, 170N,  944E,  40,    0, XX
IO, 03, 1975050800,   , BEST,   0, 176N,  954E,  25,    0, XX
IO, 03, 1975050806,   , BEST,   0, 183N,  967E,  20,    0, XX
IO, 03, 1975050812,   , BEST,   0, 190N,  982E,   0
