IO, 19, 1975110700,   , BEST,   0, 114N,  890E,   0
IO, 19, 1975110706,   , BEST,   0, 117N,  881E,   0
IO, 19, 1975110712,   , BEST,   0, 120N,  870E,   0
IO, 19, 1975110718,   , BEST,   0, 124N,  857E,  35,    0, XX
IO, 19, 1975110800,   , BEST,   0, 130N,  844E,  35,    0, XX
IO, 19, 1975110806,   , BEST,   0, 140N,  839E,  35,    0, XX
IO, 19, 1975110812,   , BEST,   0, 150N,  840E,  35,    0, XX
IO, 19, 1975110818,   , BEST,   0, 154N,  844E,  40,    0, XX
IO, 19, 1975110900,   , BEST,   0, 158N,  848E,  40,    0, XX
IO, 19, 1975110906,   , BEST,   0, 161N,  853E,  40,    0, XX
IO, 19, 1975110912,   , BEST,   0, 164N,  857E,  45,    0, XX
IO, 19, 1975110918,   , BEST,   0, 165N,  860E,  45,    0, XX
IO, 19, 1975111000,   , BEST,   0, 167N,  864E,  50,    0, XX
IO, 19, 1975111006,   , BEST,   0, 178N,  872E,  50,    0, XX
IO, 19, 1975111012,   , BEST,   0, 190N,  880E,  45,    0, XX
IO, 19, 1975111018,   , BEST,   0, 195N,  886E,  45,    0, XX
IO, 19, 1975111100,   , BEST,   0, 201N,  892E,  40,    0, XX
IO, 19, 1975111106,   , BEST,   0, 208N,  899E,  40,    0, XX
IO, 19, 1975111112,   , BEST,   0, 215N,  906E,  35,    0, XX
IO, 19, 1975111118,   , BEST,   0, 223N,  913E,  35,    0, XX
IO, 19, 1975111200,   , BEST,   0, 231N,  921E,  30,    0, XX
