IO, 02, 1979061600,   , BEST,   0, 133N,  706E,   0
IO, 02, 1979061606,   , BEST,   0, 140N,  703E,   0
IO, 02, 1979061612,   , BEST,   0, 146N,  699E,   0
IO, 02, 1979061618,   , BEST,   0, 152N,  696E,   0
IO, 02, 1979061700,   , BEST,   0, 158N,  692E,   0
IO, 02, 1979061706,   , BEST,   0, 165N,  688E,   0
IO, 02, 1979061712,   , BEST,   0, 172N,  681E,  25,    0, XX
IO, 02, 1979061718,   , BEST,   0, 176N,  670E,  30,    0, XX
IO, 02, 1979061800,   , BEST,   0, 178N,  658E,  30,    0, XX
IO, 02, 1979061806,   , BEST,   0, 179N,  649E,  35,    0, XX
IO, 02, 1979061812,   , BEST,   0, 180N,  640E,  40,    0, XX
IO, 02, 1979061818,   , BEST,   0, 181N,  630E,  45,    0, XX
IO, 02, 1979061900,   , BEST,   0, 182N,  620E,  50,    0, XX
IO, 02, 1979061906,   , BEST,   0, 184N,  608E,  50,    0, XX
IO, 02, 1979061912,   , BEST,   0, 186N,  596E,  50,    0, XX
IO, 02, 1979061918,   , BEST,   0, 187N,  587E,  50,    0, XX
IO, 02, 1979062000,   , BEST,   0, 188N,  581E,  40,    0, XX
