IO, 04, 1979091600,   , BEST,   0, 105N,  780E,   0
IO, 04, 1979091606,   , BEST,   0, 108N,  772E,   0
IO, 04, 1979091612,   , BEST,   0, 110N,  764E,   0
IO, 04, 1979091618,   , BEST,   0, 110N,  757E,   0
IO, 04, 1979091700,   , BEST,   0, 111N,  751E,   0
IO, 04, 1979091706,   , BEST,   0, 113N,  743E,   0
IO, 04, 1979091712,   , BEST,   0, 116N,  736E,   0
IO, 04, 1979091718,   , BEST,   0, 117N,  733E,   0
IO, 04, 1979091800,   , BEST,   0, 119N,  732E,  15,    0, XX
IO, 04, 1979091806,   , BEST,   0, 122N,  728E,  15,    0, XX
IO, 04, 1979091812,   , BEST,   0, 126N,  725E,  15,    0, XX
IO, 04, 1979091818,   , BEST,   0, 130N,  723E,  15,    0, XX
IO, 04, 1979091900,   , BEST,   0, 134N,  720E,  20,    0, XX
IO, 04, 1979091906,   , BEST,   0, 138N,  718E,  20,    0, XX
IO, 04, 1979091912,   , BEST,   0, 142N,  715E,  20,    0, XX
IO, 04, 1979091918,   , BEST,   0, 145N,  713E,  20,    0, XX
IO, 04, 1979092000,   , BEST,   0, 148N,  710E,  20,    0, XX
IO, 04, 1979092006,   , BEST,   0, 155N,  708E,  25,    0, XX
IO, 04, 1979092012,   , BEST,   0, 163N,  705E,  25,    0, XX
IO, 04, 1979092018,   , BEST,   0, 166N,  703E,  25,    0, XX
IO, 04, 1979092100,   , BEST,   0, 169N,  701E,  25,    0, XX
IO, 04, 1979092106,   , BEST,   0, 175N,  696E,  25,    0, XX
IO, 04, 1979092112,   , BEST,   0, 181N,  690E,  30,    0, XX
IO, 04, 1979092118,   , BEST,   0, 184N,  683E,  35,    0, XX
IO, 04, 1979092200,   , BEST,   0, 186N,  675E,  40,    0, XX
IO, 04, 1979092206,   , BEST,   0, 190N,  665E,  45,    0, XX
IO, 04, 1979092212,   , BEST,   0, 193N,  654E,  45,    0, XX
IO, 04, 1979092218,   , BEST,   0, 194N,  644E,  50,    0, XX
IO, 04, 1979092300,   , BEST,   0, 195N,  635E,  55,    0, XX
IO, 04, 1979092306,   , BEST,   0, 196N,  623E,  50,    0, XX
IO, 04, 1979092312,   , BEST,   0, 196N,  612E,  45,    0, XX
IO, 04, 1979092318,   , BEST,   0, 196N,  606E,  40,    0, XX
IO, 04, 1979092400,   , BEST,   0, 196N,  599E,  35,    0, XX
IO, 04, 1979092406,   , BEST,   0, 196N,  593E,  30,    0, XX
IO, 04, 1979092412,   , BEST,   0, 195N,  586E,  30,    0, XX
IO, 04, 1979092418,   , BEST,   0, 196N,  579E,  25,    0, XX
IO, 04, 1979092500,   , BEST,   0, 199N,  570E,  20,    0, XX
