IO, 06, 1979102700,   , BEST,   0,  59N,  945E,   0
IO, 06, 1979102706,   , BEST,   0,  66N,  945E,   0
IO, 06, 1979102712,   , BEST,   0,  74N,  944E,   0
IO, 06, 1979102718,   , BEST,   0,  82N,  944E,   0
IO, 06, 1979102800,   , BEST,   0,  90N,  940E,   0
IO, 06, 1979102806,   , BEST,   0,  96N,  933E,   0
IO, 06, 1979102812,   , BEST,   0, 101N,  925E,   0
IO, 06, 1979102818,   , BEST,   0, 105N,  918E,   0
IO, 06, 1979102900,   , BEST,   0, 110N,  910E,  20,    0, XX
IO, 06, 1979102906,   , BEST,   0, 114N,  904E,  20,    0, XX
IO, 06, 1979102912,   , BEST,   0, 119N,  899E,  20,    0, XX
IO, 06, 1979102918,   , BEST,   0, 121N,  894E,  25,    0, XX
IO, 06, 1979103000,   , BEST,   0, 122N,  889E,  25,    0, XX
IO, 06, 1979103006,   , BEST,   0, 125N,  880E,  25,    0, XX
IO, 06, 1979103012,   , BEST,   0, 129N,  869E,  25,    0, XX
IO, 06, 1979103018,   , BEST,   0, 133N,  860E,  30,    0, XX
IO, 06, 1979103100,   , BEST,   0, 135N,  851E,  30,    0, XX
IO, 06, 1979103106,   , BEST,   0, 133N,  841E,  30,    0, XX
IO, 06, 1979103112,   , BEST,   0, 130N,  830E,  35,    0, XX
IO, 06, 1979103118,   , BEST,   0, 128N,  820E,  35,    0, XX
IO, 06, 1979110100,   , BEST,   0, 125N,  810E,  30,    0, XX
IO, 06, 1979110106,   , BEST,   0, 124N,  803E,  20,    0, XX
IO, 06, 1979110112,   , BEST,   0, 125N,  799E,  15,    0, XX
