IO, 07, 1979111300,   , BEST,   0,  95N,  716E,   0
IO, 07, 1979111306,   , BEST,   0, 101N,  709E,   0
IO, 07, 1979111312,   , BEST,   0, 106N,  704E,   0
IO, 07, 1979111318,   , BEST,   0, 110N,  701E,   0
IO, 07, 1979111400,   , BEST,   0, 114N,  697E,  20,    0, XX
IO, 07, 1979111406,   , BEST,   0, 120N,  694E,  20,    0, XX
IO, 07, 1979111412,   , BEST,   0, 127N,  690E,  20,    0, XX
IO, 07, 1979111418,   , BEST,   0, 133N,  691E,  20,    0, XX
IO, 07, 1979111500,   , BEST,   0, 139N,  695E,  20,    0, XX
IO, 07, 1979111506,   , BEST,   0, 144N,  697E,  25,    0, XX
IO, 07, 1979111512,   , BEST,   0, 149N,  699E,  30,    0, XX
IO, 07, 1979111518,   , BEST,   0, 156N,  702E,  30,    0, XX
IO, 07, 1979111600,   , BEST,   0, 165N,  706E,  35,    0, XX
IO, 07, 1979111606,   , BEST,   0, 177N,  709E,  40,    0, XX
IO, 07, 1979111612,   , BEST,   0, 186N,  708E,  40,    0, XX
IO, 07, 1979111618,   , BEST,   0, 188N,  705E,  40,    0, XX
IO, 07, 1979111700,   , BEST,   0, 190N,  701E,  40,    0, XX
IO, 07, 1979111706,   , BEST,   0, 193N,  698E,  35,    0, XX
IO, 07, 1979111712,   , BEST,   0, 196N,  694E,  30,    0, XX
