IO, 08, 1979112300,   , BEST,   0,  84N,  877E,  20,    0, XX
IO, 08, 1979112306,   , BEST,   0,  91N,  868E,  25,    0, XX
IO, 08, 1979112312,   , BEST,   0,  97N,  859E,  25,    0, XX
IO, 08, 1979112318,   , BEST,   0, 103N,  850E,  30,    0, XX
IO, 08, 1979112400,   , BEST,   0, 108N,  842E,  30,    0, XX
IO, 08, 1979112406,   , BEST,   0, 112N,  835E,  30,    0, XX
IO, 08, 1979112412,   , BEST,   0, 116N,  829E,  30,    0, XX
IO, 08, 1979112418,   , BEST,   0, 122N,  824E,  25,    0, XX
IO, 08, 1979112500,   , BEST,   0, 128N,  818E,  25,    0, XX
IO, 08, 1979112506,   , BEST,   0, 135N,  809E,  25,    0, XX
IO, 08, 1979112512,   , BEST,   0, 142N,  795E,  15,    0, XX
