IO, 05, 1980121200,   , BEST,   0, 104N,  915E,  25,    0, XX
IO, 05, 1980121206,   , BEST,   0, 106N,  919E,  25,    0, XX
IO, 05, 1980121212,   , BEST,   0, 107N,  923E,  25,    0, XX
IO, 05, 1980121218,   , BEST,   0, 108N,  928E,  25,    0, XX
IO, 05, 1980121300,   , BEST,   0, 109N,  934E,  25,    0, XX
IO, 05, 1980121306,   , BEST,   0, 110N,  935E,  25,    0, XX
IO, 05, 1980121312,   , BEST,   0, 110N,  935E,  25,    0, XX
IO, 05, 1980121318,   , BEST,   0, 107N,  936E,  25,    0, XX
IO, 05, 1980121400,   , BEST,   0, 102N,  937E,  25,    0, XX
IO, 05, 1980121406,   , BEST,   0,  99N,  934E,  25,    0, XX
IO, 05, 1980121412,   , BEST,   0,  98N,  926E,  25,    0, XX
IO, 05, 1980121418,   , BEST,   0,  95N,  921E,  25,    0, XX
IO, 05, 1980121500,   , BEST,   0,  92N,  915E,  25,    0, XX
IO, 05, 1980121506,   , BEST,   0,  88N,  906E,  25,    0, XX
IO, 05, 1980121512,   , BEST,   0,  86N,  896E,  25,    0, XX
IO, 05, 1980121518,   , BEST,   0,  85N,  886E,  30,    0, XX
IO, 05, 1980121600,   , BEST,   0,  85N,  876E,  30,    0, XX
IO, 05, 1980121606,   , BEST,   0,  85N,  864E,  35,    0, XX
IO, 05, 1980121612,   , BEST,   0,  85N,  850E,  35,    0, XX
IO, 05, 1980121618,   , BEST,   0,  85N,  836E,  35,    0, XX
IO, 05, 1980121700,   , BEST,   0,  85N,  823E,  35,    0, XX
IO, 05, 1980121706,   , BEST,   0,  85N,  810E,  30,    0, XX
IO, 05, 1980121712,   , BEST,   0,  85N,  798E,  25,    0, XX
