IO, 02, 2000102512,   , BEST,   0, 149N,  907E,  25,    0, TD
IO, 02, 2000102518,   , BEST,   0, 159N,  901E,  30,    0, TD
IO, 02, 2000102600,   , BEST,   0, 166N,  893E,  30,    0, TD
IO, 02, 2000102606,   , BEST,   0, 166N,  886E,  30,    0, TD
IO, 02, 2000102612,   , BEST,   0, 165N,  879E,  30,    0, TD
IO, 02, 2000102618,   , BEST,   0, 170N,  877E,  30,    0, TD
IO, 02, 2000102700,   , BEST,   0, 180N,  877E,  30,    0, TD
IO, 02, 2000102706,   , BEST,   0, 187N,  879E,  30,    0, TD
IO, 02, 2000102712,   , BEST,   0, 197N,  882E,  30,    0, TD
IO, 02, 2000102718,   , BEST,   0, 207N,  885E,  35,    0, TS
IO, 02, 2000102800,   , BEST,   0, 218N,  889E,  35,    0, TS
IO, 02, 2000102806,   , BEST,   0, 237N,  904E,  20,    0, TD
