IO, 03, 2000112612,   , BEST,   0,  93N,  903E,  35,    0, TS
IO, 03, 2000112618,   , BEST,   0,  98N,  892E,  35,    0, TS
IO, 03, 2000112700,   , BEST,   0, 103N,  881E,  35,    0, TS
IO, 03, 2000112706,   , BEST,   0, 107N,  869E,  45,    0, TS
IO, 03, 2000112712,   , BEST,   0, 110N,  858E,  45,    0, TS
IO, 03, 2000112718,   , BEST,   0, 112N,  847E,  50,    0, TS
IO, 03, 2000112800,   , BEST,   0, 114N,  837E,  55,    0, TS
IO, 03, 2000112806,   , BEST,   0, 115N,  828E,  55,    0, TS
IO, 03, 2000112812,   , BEST,   0, 115N,  819E,  70,    0, TY
IO, 03, 2000112818,   , BEST,   0, 115N,  814E,  75,    0, TY
IO, 03, 2000112900,   , BEST,   0, 115N,  808E,  75,    0, TY
IO, 03, 2000112906,   , BEST,   0, 116N,  803E,  70,    0, TY
IO, 03, 2000112912,   , BEST,   0, 116N,  797E,  65,    0, TY
IO, 03, 2000112918,   , BEST,   0, 115N,  787E,  55,    0, TS
IO, 03, 2000113000,   , BEST,   0, 114N,  779E,  45,    0, TS
IO, 03, 2000113006,   , BEST,   0, 114N,  773E,  35,    0, TS
IO, 03, 2000113012,   , BEST,   0, 115N,  765E,  35,    0, TS
IO, 03, 2000113018,   , BEST,   0, 116N,  756E,  25,    0, TD
IO, 03, 2000120100,   , BEST,   0, 117N,  749E,  30,    0, TD
IO, 03, 2000120106,   , BEST,   0, 118N,  742E,  30,    0, TD
IO, 03, 2000120112,   , BEST,   0, 118N,  735E,  25,    0, TD
IO, 03, 2000120118,   , BEST,   0, 118N,  727E,  30,    0, TD
IO, 03, 2000120200,   , BEST,   0, 119N,  716E,  30,    0, TD
IO, 03, 2000120206,   , BEST,   0, 119N,  704E,  30,    0, TD
IO, 03, 2000120212,   , BEST,   0, 118N,  694E,  30,    0, TD
IO, 03, 2000120218,   , BEST,   0, 117N,  684E,  30,    0, TD
IO, 03, 2000120300,   , BEST,   0, 115N,  677E,  30,    0, TD
IO, 03, 2000120306,   , BEST,   0, 112N,  667E,  35,    0, TS
IO, 03, 2000120312,   , BEST,   0, 110N,  655E,  35,    0, TS
IO, 03, 2000120318,   , BEST,   0, 108N,  644E,  30,    0, TD
IO, 03, 2000120400,   , BEST,   0, 108N,  631E,  30,    0, TD
IO, 03, 2000120406,   , BEST,   0, 103N,  619E,  30,    0, TD
IO, 03, 2000120412,   , BEST,   0,  99N,  606E,  25,    0, TD
IO, 03, 2000120418,   , BEST,   0,  96N,  594E,  25,    0, TD
IO, 03, 2000120500,   , BEST,   0,  95N,  584E,  25,    0, TD
IO, 03, 2000120506,   , BEST,   0,  92N,  572E,  25,    0, TD
IO, 03, 2000120512,   , BEST,   0,  88N,  562E,  25,    0, TD
IO, 03, 2000120518,   , BEST,   0,  85N,  553E,  25,    0, TD
IO, 03, 2000120600,   , BEST,   0,  81N,  545E,  25,    0, TD
IO, 03, 2000120606,   , BEST,   0,  76N,  535E,  25,    0, TD
IO, 03, 2000120612,   , BEST,   0,  71N,  526E,  25,    0, TD
