SH, 07, 1968121900,   , BEST,   0, 124S, 1084E,-999
SH, 07, 1968121906,   , BEST,   0, 125S, 1083E,-999
SH, 07, 1968121912,   , BEST,   0, 126S, 1083E,-999
SH, 07, 1968121918,   , BEST,   0, 127S, 1082E,-999
SH, 07, 1968122000,   , BEST,   0, 127S, 1082E,-999
SH, 07, 1968122006,   , BEST,   0, 128S, 1081E,-999
SH, 07, 1968122012,   , BEST,   0, 129S, 1081E,-999
SH, 07, 1968122018,   , BEST,   0, 130S, 1080E,-999
SH, 07, 1968122100,   , BEST,   0, 130S, 1080E,-999
SH, 07, 1968122106,   , BEST,   0, 131S, 1079E,-999
SH, 07, 1968122112,   , BEST,   0, 131S, 1079E,-999
SH, 07, 1968122118,   , BEST,   0, 132S, 1078E,-999
SH, 07, 1968122200,   , BEST,   0, 132S, 1077E,-999
SH, 07, 1968122206,   , BEST,   0, 132S, 1075E,-999
SH, 07, 1968122212,   , BEST,   0, 131S, 1073E,-999
SH, 07, 1968122218,   , BEST,   0, 130S, 1072E,-999
SH, 07, 1968122300,   , BEST,   0, 129S, 1069E,-999
SH, 07, 1968122306,   , BEST,   0, 127S, 1064E,-999
SH, 07, 1968122312,   , BEST,   0, 126S, 1059E,-999
SH, 07, 1968122318,   , BEST,   0, 127S, 1055E,-999
SH, 07, 1968122400,   , BEST,   0, 130S, 1050E,-999
SH, 07, 1968122406,   , BEST,   0, 136S, 1042E,-999
SH, 07, 1968122412,   , BEST,   0, 142S, 1031E,-999
SH, 07, 1968122418,   , BEST,   0, 146S, 1020E,-999
