SH, 18, 1973012800,   , BEST,   0, 155S, 1228E,-999
SH, 18, 1973012806,   , BEST,   0, 158S, 1225E,-999
SH, 18, 1973012812,   , BEST,   0, 165S, 1221E,-999
SH, 18, 1973012818,   , BEST,   0, 172S, 1218E,-999
SH, 18, 1973012900,   , BEST,   0, 176S, 1213E,-999
SH, 18, 1973012906,   , BEST,   0, 179S, 1208E,-999
SH, 18, 1973012912,   , BEST,   0, 180S, 1207E,-999
SH, 18, 1973012918,   , BEST,   0, 180S, 1206E,-999
SH, 18, 1973013000,   , BEST,   0, 180S, 1205E,-999
SH, 18, 1973013006,   , BEST,   0, 180S, 1203E,-999
SH, 18, 1973013012,   , BEST,   0, 180S, 1202E,-999
SH, 18, 1973013018,   , BEST,   0, 180S, 1201E,-999
SH, 18, 1973013100,   , BEST,   0, 180S, 1201E,-999
SH, 18, 1973013106,   , BEST,   0, 180S, 1201E,-999
