SH, 31, 1975041918,   , BEST,   0,  85S,  766E,-999
SH, 31, 1975042000,   , BEST,   0,  87S,  766E,-999
SH, 31, 1975042006,   , BEST,   0,  88S,  770E,-999
SH, 31, 1975042012,   , BEST,   0,  88S,  778E,-999
SH, 31, 1975042018,   , BEST,   0,  89S,  786E,-999
SH, 31, 1975042100,   , BEST,   0,  89S,  794E,-999
SH, 31, 1975042106,   , BEST,   0,  90S,  802E,-999
SH, 31, 1975042112,   , BEST,   0,  90S,  810E,-999
SH, 31, 1975042118,   , BEST,   0,  91S,  818E,-999
SH, 31, 1975042200,   , BEST,   0,  91S,  827E,-999
SH, 31, 1975042206,   , BEST,   0,  90S,  836E,-999
SH, 31, 1975042212,   , BEST,   0,  87S,  849E,-999
SH, 31, 1975042218,   , BEST,   0,  83S,  866E,-999
