SH, 12, 1979020406,   , BEST,   0, 191S,  412E,-999
SH, 12, 1979020412,   , BEST,   0, 192S,  416E,-999
SH, 12, 1979020418,   , BEST,   0, 194S,  419E,-999
SH, 12, 1979020500,   , BEST,   0, 196S,  422E,-999
SH, 12, 1979020506,   , BEST,   0, 199S,  424E,-999
SH, 12, 1979020512,   , BEST,   0, 200S,  426E,-999
SH, 12, 1979020518,   , BEST,   0, 202S,  428E,-999
SH, 12, 1979020600,   , BEST,   0, 204S,  429E,-999
SH, 12, 1979020606,   , BEST,   0, 207S,  431E,-999
SH, 12, 1979020612,   , BEST,   0, 209S,  433E,-999
SH, 12, 1979020618,   , BEST,   0, 211S,  436E,-999
SH, 12, 1979020700,   , BEST,   0, 218S,  438E,-999
SH, 12, 1979020706,   , BEST,   0, 222S,  439E,-999
SH, 12, 1979020712,   , BEST,   0, 219S,  433E,-999
SH, 12, 1979020718,   , BEST,   0, 216S,  425E,-999
SH, 12, 1979020800,   , BEST,   0, 213S,  422E,-999
SH, 12, 1979020806,   , BEST,   0, 210S,  420E,-999
SH, 12, 1979020812,   , BEST,   0, 209S,  420E,-999
SH, 12, 1979020818,   , BEST,   0, 209S,  419E,-999
SH, 12, 1979020900,   , BEST,   0, 207S,  418E,-999
SH, 12, 1979020906,   , BEST,   0, 205S,  417E,-999
SH, 12, 1979020912,   , BEST,   0, 203S,  417E,-999
SH, 12, 1979020918,   , BEST,   0, 201S,  417E,-999
SH, 12, 1979021000,   , BEST,   0, 200S,  417E,-999
SH, 12, 1979021006,   , BEST,   0, 198S,  416E,-999
SH, 12, 1979021012,   , BEST,   0, 190S,  417E,-999
SH, 12, 1979021018,   , BEST,   0, 180S,  420E,-999
SH, 12, 1979021100,   , BEST,   0, 172S,  425E,-999
SH, 12, 1979021106,   , BEST,   0, 169S,  430E,-999
SH, 12, 1979021112,   , BEST,   0, 171S,  434E,-999
SH, 12, 1979021118,   , BEST,   0, 174S,  438E,-999
SH, 12, 1979021200,   , BEST,   0, 177S,  441E,-999
SH, 12, 1979021206,   , BEST,   0, 181S,  442E,-999
SH, 12, 1979021212,   , BEST,   0, 186S,  442E,-999
SH, 12, 1979021218,   , BEST,   0, 190S,  442E,-999
SH, 12, 1979021300,   , BEST,   0, 193S,  442E,-999
SH, 12, 1979021306,   , BEST,   0, 194S,  441E,-999
SH, 12, 1979021312,   , BEST,   0, 195S,  434E,-999
SH, 12, 1979021318,   , BEST,   0, 196S,  425E,-999
SH, 12, 1979021400,   , BEST,   0, 197S,  425E,-999
SH, 12, 1979021406,   , BEST,   0, 199S,  430E,-999
