SH, 01, 1986073012,   , BEST,   0,  77S,  848E,  30
SH, 01, 1986073018,   , BEST,   0,  77S,  840E,  30
SH, 01, 1986073100,   , BEST,   0,  77S,  832E,  30
SH, 01, 1986073106,   , BEST,   0,  76S,  823E,  30
SH, 01, 1986073112,   , BEST,   0,  76S,  815E,  30
SH, 01, 1986073118,   , BEST,   0,  76S,  808E,  35
SH, 01, 1986080100,   , BEST,   0,  76S,  800E,  40
SH, 01, 1986080106,   , BEST,   0,  76S,  793E,  45
SH, 01, 1986080112,   , BEST,   0,  76S,  783E,  40
SH, 01, 1986080118,   , BEST,   0,  76S,  776E,  35
SH, 01, 1986080200,   , BEST,   0,  76S,  769E,  35
SH, 01, 1986080206,   , BEST,   0,  76S,  762E,  30
SH, 01, 1986080212,   , BEST,   0,  74S,  755E,  30
SH, 01, 1986080218,   , BEST,   0,  71S,  747E,  30
SH, 01, 1986080300,   , BEST,   0,  69S,  740E,  30
SH, 01, 1986080306,   , BEST,   0,  68S,  735E,  25
SH, 01, 1986080312,   , BEST,   0,  69S,  732E,  25
