SH, 13, 1987020300,   , BEST,   0, 158S, 1731W,  25
SH, 13, 1987020306,   , BEST,   0, 157S, 1724W,  25
SH, 13, 1987020312,   , BEST,   0, 159S, 1717W,  30
SH, 13, 1987020318,   , BEST,   0, 160S, 1710W,  35
SH, 13, 1987020400,   , BEST,   0, 160S, 1703W,  40
SH, 13, 1987020406,   , BEST,   0, 160S, 1696W,  40
SH, 13, 1987020412,   , BEST,   0, 160S, 1689W,  40
SH, 13, 1987020418,   , BEST,   0, 159S, 1682W,  40
SH, 13, 1987020500,   , BEST,   0, 158S, 1673W,  35
SH, 13, 1987020506,   , BEST,   0, 158S, 1660W,  30
SH, 13, 1987020512,   , BEST,   0, 162S, 1643W,  25
