SH, 13, 1991022412,   , BEST,   0, 120S, 1450E,  25
SH, 13, 1991022418,   , BEST,   0, 133S, 1465E,  25
SH, 13, 1991022500,   , BEST,   0, 144S, 1479E,  35
SH, 13, 1991022506,   , BEST,   0, 153S, 1491E,  45
SH, 13, 1991022512,   , BEST,   0, 160S, 1500E,  45
SH, 13, 1991022518,   , BEST,   0, 165S, 1505E,  55
SH, 13, 1991022600,   , BEST,   0, 168S, 1508E,  45
SH, 13, 1991022606,   , BEST,   0, 173S, 1508E,  45
SH, 13, 1991022612,   , BEST,   0, 175S, 1504E,  45
SH, 13, 1991022618,   , BEST,   0, 179S, 1500E,  50
SH, 13, 1991022700,   , BEST,   0, 163S, 1500E,  50
SH, 13, 1991022706,   , BEST,   0, 159S, 1502E,  45
SH, 13, 1991022712,   , BEST,   0, 157S, 1503E,  45
SH, 13, 1991022718,   , BEST,   0, 155S, 1505E,  45
SH, 13, 1991022800,   , BEST,   0, 154S, 1506E,  45
SH, 13, 1991022806,   , BEST,   0, 155S, 1508E,  45
SH, 13, 1991022812,   , BEST,   0, 155S, 1508E,  45
SH, 13, 1991022818,   , BEST,   0, 155S, 1504E,  35
SH, 13, 1991030100,   , BEST,   0, 155S, 1500E,  35
SH, 13, 1991030106,   , BEST,   0, 153S, 1497E,  35
SH, 13, 1991030112,   , BEST,   0, 151S, 1497E,  35
SH, 13, 1991030118,   , BEST,   0, 150S, 1500E,  35
SH, 13, 1991030200,   , BEST,   0, 152S, 1501E,  35
SH, 13, 1991030206,   , BEST,   0, 153S, 1501E,  40,    0, XX
SH, 13, 1991030212,   , BEST,   0, 152S, 1499E,  40
SH, 13, 1991030218,   , BEST,   0, 149S, 1498E,  40
SH, 13, 1991030300,   , BEST,   0, 147S, 1500E,  45
SH, 13, 1991030306,   , BEST,   0, 145S, 1502E,  45
SH, 13, 1991030312,   , BEST,   0, 144S, 1504E,  45
SH, 13, 1991030318,   , BEST,   0, 142S, 1503E,  45
SH, 13, 1991030400,   , BEST,   0, 141S, 1502E,  45
SH, 13, 1991030406,   , BEST,   0, 140S, 1499E,  45
SH, 13, 1991030412,   , BEST,   0, 139S, 1497E,  45
SH, 13, 1991030418,   , BEST,   0, 138S, 1495E,  35
SH, 13, 1991030500,   , BEST,   0, 136S, 1494E,  35
SH, 13, 1991030506,   , BEST,   0, 134S, 1494E,  35
SH, 13, 1991030512,   , BEST,   0, 133S, 1495E,  35
SH, 13, 1991030518,   , BEST,   0, 132S, 1498E,  35
SH, 13, 1991030600,   , BEST,   0, 132S, 1501E,  30
SH, 13, 1991030606,   , BEST,   0, 132S, 1507E,  30
SH, 13, 1991030612,   , BEST,   0, 128S, 1509E,  25
