SH, 04, 1992112600,   , BEST,   0, 105S,  824E,  15
SH, 04, 1992112606,   , BEST,   0, 105S,  821E,  15
SH, 04, 1992112612,   , BEST,   0, 106S,  818E,  15
SH, 04, 1992112618,   , BEST,   0, 106S,  816E,  15
SH, 04, 1992112700,   , BEST,   0, 106S,  814E,  15
SH, 04, 1992112706,   , BEST,   0, 106S,  812E,  15
SH, 04, 1992112712,   , BEST,   0, 105S,  810E,  15
SH, 04, 1992112718,   , BEST,   0, 104S,  806E,  15
SH, 04, 1992112800,   , BEST,   0, 104S,  801E,  15
SH, 04, 1992112806,   , BEST,   0, 104S,  796E,  15
SH, 04, 1992112812,   , BEST,   0, 104S,  791E,  15
SH, 04, 1992112818,   , BEST,   0, 105S,  786E,  15
SH, 04, 1992112900,   , BEST,   0, 105S,  781E,  15
SH, 04, 1992112906,   , BEST,   0, 106S,  776E,  15
SH, 04, 1992112912,   , BEST,   0, 107S,  769E,  15
SH, 04, 1992112918,   , BEST,   0, 109S,  762E,  15
SH, 04, 1992113000,   , BEST,   0, 109S,  757E,  15
SH, 04, 1992113006,   , BEST,   0, 109S,  752E,  15
SH, 04, 1992113012,   , BEST,   0, 109S,  747E,  15
SH, 04, 1992113018,   , BEST,   0, 107S,  740E,  15
SH, 04, 1992120100,   , BEST,   0, 106S,  733E,  15
SH, 04, 1992120106,   , BEST,   0, 104S,  726E,  15
SH, 04, 1992120112,   , BEST,   0, 102S,  718E,  15
SH, 04, 1992120118,   , BEST,   0, 100S,  711E,  15
SH, 04, 1992120200,   , BEST,   0,  98S,  702E,  25
SH, 04, 1992120206,   , BEST,   0,  96S,  690E,  25
SH, 04, 1992120212,   , BEST,   0,  94S,  677E,  25
SH, 04, 1992120218,   , BEST,   0,  95S,  665E,  25
SH, 04, 1992120300,   , BEST,   0,  96S,  652E,  25
SH, 04, 1992120306,   , BEST,   0,  97S,  640E,  25
SH, 04, 1992120312,   , BEST,   0,  99S,  630E,  25
SH, 04, 1992120318,   , BEST,   0, 100S,  621E,  25
SH, 04, 1992120400,   , BEST,   0, 100S,  614E,  25
SH, 04, 1992120406,   , BEST,   0, 100S,  606E,  25
SH, 04, 1992120412,   , BEST,   0, 100S,  599E,  20
SH, 04, 1992120418,   , BEST,   0, 100S,  592E,  20
SH, 04, 1992120500,   , BEST,   0,  99S,  585E,  20
SH, 04, 1992120506,   , BEST,   0,  99S,  577E,  20
SH, 04, 1992120512,   , BEST,   0,  98S,  569E,  20
SH, 04, 1992120518,   , BEST,   0,  98S,  560E,  25
SH, 04, 1992120600,   , BEST,   0,  97S,  550E,  25
SH, 04, 1992120606,   , BEST,   0,  96S,  539E,  25
SH, 04, 1992120612,   , BEST,   0,  94S,  529E,  25
SH, 04, 1992120618,   , BEST,   0,  92S,  520E,  25
SH, 04, 1992120700,   , BEST,   0,  89S,  512E,  25
SH, 04, 1992120706,   , BEST,   0,  87S,  505E,  30
SH, 04, 1992120712,   , BEST,   0,  86S,  499E,  30
SH, 04, 1992120718,   , BEST,   0,  86S,  493E,  35
SH, 04, 1992120800,   , BEST,   0,  86S,  487E,  35
SH, 04, 1992120806,   , BEST,   0,  86S,  481E,  35
SH, 04, 1992120812,   , BEST,   0,  85S,  476E,  35
SH, 04, 1992120818,   , BEST,   0,  85S,  471E,  35
SH, 04, 1992120900,   , BEST,   0,  85S,  466E,  35
SH, 04, 1992120906,   , BEST,   0,  85S,  461E,  30
SH, 04, 1992120912,   , BEST,   0,  84S,  456E,  30
SH, 04, 1992120918,   , BEST,   0,  84S,  452E,  30
SH, 04, 1992121000,   , BEST,   0,  84S,  447E,  30
SH, 04, 1992121006,   , BEST,   0,  82S,  441E,  25
SH, 04, 1992121012,   , BEST,   0,  78S,  435E,  25
SH, 04, 1992121018,   , BEST,   0,  72S,  431E,  25
SH, 04, 1992121100,   , BEST,   0,  66S,  429E,  25
