SH, 32, 1998040606,   , BEST,   0, 126S,  710E,  25,    0,   
SH, 32, 1998040612,   , BEST,   0, 129S,  710E,  30,    0,   
SH, 32, 1998040618,   , BEST,   0, 132S,  711E,  30,    0,   
SH, 32, 1998040700,   , BEST,   0, 134S,  712E,  30,    0,   
SH, 32, 1998040706,   , BEST,   0, 136S,  714E,  30,    0,   
SH, 32, 1998040712,   , BEST,   0, 136S,  716E,  30,    0,   
SH, 32, 1998040718,   , BEST,   0, 136S,  718E,  30,    0,   
SH, 32, 1998040800,   , BEST,   0, 138S,  719E,  45,    0,   
SH, 32, 1998040806,   , BEST,   0, 140S,  719E,  45,    0,   
SH, 32, 1998040812,   , BEST,   0, 142S,  719E,  50,    0,   
SH, 32, 1998040818,   , BEST,   0, 144S,  719E,  50,    0,   
SH, 32, 1998040900,   , BEST,   0, 147S,  720E,  55,    0,   
SH, 32, 1998040906,   , BEST,   0, 149S,  721E,  55,    0,   
SH, 32, 1998040912,   , BEST,   0, 151S,  724E,  60,    0,   
SH, 32, 1998040918,   , BEST,   0, 153S,  727E,  60,    0,   
SH, 32, 1998041000,   , BEST,   0, 154S,  732E,  60,    0,   
SH, 32, 1998041006,   , BEST,   0, 155S,  738E,  60,    0,   
SH, 32, 1998041012,   , BEST,   0, 155S,  744E,  65,    0,   
SH, 32, 1998041018,   , BEST,   0, 155S,  750E,  70,    0,   
SH, 32, 1998041100,   , BEST,   0, 153S,  757E,  70,    0,   
SH, 32, 1998041106,   , BEST,   0, 149S,  765E,  65,    0,   
SH, 32, 1998041112,   , BEST,   0, 146S,  770E,  65,    0,   
SH, 32, 1998041118,   , BEST,   0, 146S,  771E,  65,    0,   
SH, 32, 1998041200,   , BEST,   0, 146S,  772E,  65,    0,   
SH, 32, 1998041206,   , BEST,   0, 146S,  773E,  60,    0,   
SH, 32, 1998041212,   , BEST,   0, 146S,  774E,  55,    0,   
SH, 32, 1998041218,   , BEST,   0, 146S,  775E,  50,    0,   
SH, 32, 1998041300,   , BEST,   0, 146S,  776E,  45,    0,   
SH, 32, 1998041306,   , BEST,   0, 145S,  777E,  45,    0,   
SH, 32, 1998041312,   , BEST,   0, 144S,  777E,  45,    0,   
SH, 32, 1998041318,   , BEST,   0, 143S,  774E,  40,    0,   
SH, 32, 1998041400,   , BEST,   0, 142S,  771E,  35,    0,   
SH, 32, 1998041406,   , BEST,   0, 142S,  768E,  35,    0,   
SH, 32, 1998041412,   , BEST,   0, 142S,  763E,  35,    0,   
SH, 32, 1998041418,   , BEST,   0, 143S,  758E,  30,    0,   
SH, 32, 1998041500,   , BEST,   0, 143S,  755E,  30,    0,   
