SH, 13, 2000022312,   , BEST,   0, 232S, 1328W,  20,    0, TD
SH, 13, 2000022318,   , BEST,   0, 232S, 1336W,  25,    0, TD
SH, 13, 2000022400,   , BEST,   0, 232S, 1345W,  30,    0, TD
SH, 13, 2000022406,   , BEST,   0, 232S, 1351W,  30,    0, TD
SH, 13, 2000022412,   , BEST,   0, 232S, 1354W,  35,    0, TS
SH, 13, 2000022418,   , BEST,   0, 232S, 1357W,  45,    0, TS
SH, 13, 2000022500,   , BEST,   0, 232S, 1360W,  45,    0, TS
SH, 13, 2000022506,   , BEST,   0, 233S, 1364W,  55,    0, TS
SH, 13, 2000022512,   , BEST,   0, 235S, 1370W,  60,    0, TS
SH, 13, 2000022518,   , BEST,   0, 242S, 1376W,  65,    0, TY
SH, 13, 2000022600,   , BEST,   0, 245S, 1385W, 100,    0, TY
SH, 13, 2000022606,   , BEST,   0, 247S, 1392W, 100,    0, TY
SH, 13, 2000022612,   , BEST,   0, 254S, 1399W,  95,    0, TY
SH, 13, 2000022618,   , BEST,   0, 265S, 1410W,  75,    0, TY
SH, 13, 2000022700,   , BEST,   0, 274S, 1420W,  75,    0, TY
SH, 13, 2000022706,   , BEST,   0, 280S, 1428W,  75,    0, TY
SH, 13, 2000022712,   , BEST,   0, 287S, 1437W,  70,    0, TY
SH, 13, 2000022718,   , BEST,   0, 293S, 1452W,  65,    0, TY
SH, 13, 2000022800,   , BEST,   0, 301S, 1464W,  50,    0, TS
SH, 13, 2000022806,   , BEST,   0, 310S, 1477W,  35,    0, TS
SH, 13, 2000022812,   , BEST,   0, 317S, 1486W,  35,    0, TS
SH, 13, 2000022818,   , BEST,   0, 325S, 1493W,  35,    0, TS
SH, 13, 2000022900,   , BEST,   0, 332S, 1498W,  35,    0, TS
SH, 13, 2000022906,   , BEST,   0, 343S, 1505W,  30,    0, TD
SH, 13, 2000022912,   , BEST,   0, 352S, 1515W,  30,    0, TD
SH, 13, 2000022918,   , BEST,   0, 357S, 1523W,  30,    0, TD
SH, 13, 2000030100,   , BEST,   0, 364S, 1529W,  25,    0, TD
