SH, 01, 2000080100,   , BEST,   0,  61S,  797E,  25,    0, TD
SH, 01, 2000080106,   , BEST,   0,  61S,  789E,  30,    0, TD
SH, 01, 2000080112,   , BEST,   0,  62S,  782E,  30,    0, TD
SH, 01, 2000080118,   , BEST,   0,  62S,  777E,  35,    0, TS
SH, 01, 2000080200,   , BEST,   0,  62S,  772E,  35,    0, TS
SH, 01, 2000080206,   , BEST,   0,  61S,  769E,  35,    0, TS
SH, 01, 2000080212,   , BEST,   0,  62S,  766E,  35,    0, TS
SH, 01, 2000080218,   , BEST,   0,  65S,  761E,  35,    0, TS
SH, 01, 2000080300,   , BEST,   0,  70S,  754E,  35,    0, TS
SH, 01, 2000080306,   , BEST,   0,  76S,  746E,  35,    0, TS
SH, 01, 2000080312,   , BEST,   0,  82S,  739E,  30,    0, TD
