SH, 03, 2000120300,   , BEST,   0, 112S, 1278E,  25,    0, TD
SH, 03, 2000120306,   , BEST,   0, 122S, 1282E,  25,    0, TD
SH, 03, 2000120312,   , BEST,   0, 128S, 1282E,  25,    0, TD
SH, 03, 2000120318,   , BEST,   0, 136S, 1281E,  30,    0, TD
SH, 03, 2000120400,   , BEST,   0, 143S, 1276E,  30,    0, TD
SH, 03, 2000120406,   , BEST,   0, 145S, 1266E,  30,    0, TD
SH, 03, 2000120412,   , BEST,   0, 146S, 1257E,  30,    0, TD
SH, 03, 2000120418,   , BEST,   0, 146S, 1251E,  30,    0, TD
SH, 03, 2000120500,   , BEST,   0, 145S, 1244E,  30,    0, TD
SH, 03, 2000120506,   , BEST,   0, 145S, 1237E,  30,    0, TD
SH, 03, 2000120512,   , BEST,   0, 145S, 1232E,  35,    0, TS
SH, 03, 2000120518,   , BEST,   0, 146S, 1227E,  35,    0, TS
SH, 03, 2000120600,   , BEST,   0, 148S, 1223E,  45,    0, TS
SH, 03, 2000120606,   , BEST,   0, 150S, 1219E,  45,    0, TS
SH, 03, 2000120612,   , BEST,   0, 154S, 1217E,  50,    0, TS
SH, 03, 2000120618,   , BEST,   0, 161S, 1216E,  55,    0, TS
SH, 03, 2000120700,   , BEST,   0, 167S, 1215E,  65,    0, TY
SH, 03, 2000120706,   , BEST,   0, 172S, 1213E,  75,    0, TY
SH, 03, 2000120712,   , BEST,   0, 176S, 1211E,  85,    0, TY
SH, 03, 2000120718,   , BEST,   0, 178S, 1210E, 110,    0, TY
SH, 03, 2000120800,   , BEST,   0, 181S, 1210E, 110,    0, TY
SH, 03, 2000120806,   , BEST,   0, 184S, 1212E, 110,    0, TY
SH, 03, 2000120812,   , BEST,   0, 188S, 1215E, 105,    0, TY
SH, 03, 2000120818,   , BEST,   0, 192S, 1218E,  95,    0, TY
SH, 03, 2000120900,   , BEST,   0, 197S, 1222E,  80,    0, TY
SH, 03, 2000120906,   , BEST,   0, 203S, 1227E,  70,    0, TY
SH, 03, 2000120912,   , BEST,   0, 207S, 1231E,  55,    0, TS
SH, 03, 2000120918,   , BEST,   0, 210S, 1237E,  50,    0, TS
SH, 03, 2000121000,   , BEST,   0, 212S, 1243E,  45,    0, TS
SH, 03, 2000121006,   , BEST,   0, 213S, 1249E,  40,    0, TS
SH, 03, 2000121012,   , BEST,   0, 214S, 1253E,  30,    0, TD
SH, 03, 2000121018,   , BEST,   0, 213S, 1258E,  25,    0, TD
