SH, 16, 2001040212,   , BEST,   0, 130S,  875E,  20,    0, TD
SH, 16, 2001040218,   , BEST,   0, 133S,  865E,  25,    0, TD
SH, 16, 2001040300,   , BEST,   0, 136S,  852E,  30,    0, TD
SH, 16, 2001040306,   , BEST,   0, 141S,  840E,  30,    0, TD
SH, 16, 2001040312,   , BEST,   0, 149S,  829E,  35,    0, TS
SH, 16, 2001040318,   , BEST,   0, 152S,  820E,  35,    0, TS
SH, 16, 2001040400,   , BEST,   0, 155S,  809E,  35,    0, TS
SH, 16, 2001040406,   , BEST,   0, 155S,  795E,  35,    0, TS
SH, 16, 2001040412,   , BEST,   0, 151S,  783E,  35,    0, TS
SH, 16, 2001040418,   , BEST,   0, 147S,  774E,  35,    0, TS
SH, 16, 2001040500,   , BEST,   0, 138S,  769E,  30,    0, TD
SH, 16, 2001040506,   , BEST,   0, 128S,  769E,  30,    0, TD
SH, 16, 2001040512,   , BEST,   0, 120S,  771E,  30,    0, TD
SH, 16, 2001040518,   , BEST,   0, 114S,  777E,  25,    0, TD
SH, 16, 2001040600,   , BEST,   0, 109S,  782E,  25,    0, TD
SH, 16, 2001040606,   , BEST,   0, 107S,  786E,  25,    0, TD
SH, 16, 2001040612,   , BEST,   0, 106S,  791E,  25,    0, TD
SH, 16, 2001040618,   , BEST,   0, 106S,  796E,  25,    0, TD
SH, 16, 2001040700,   , BEST,   0, 107S,  800E,  25,    0, TD
SH, 16, 2001040706,   , BEST,   0, 113S,  814E,  25,    0, TD
