SH, 20, 2001041600,   , BEST,   0,  83S, 1354E,  25,    0, TD
SH, 20, 2001041606,   , BEST,   0,  86S, 1345E,  30,    0, TD
SH, 20, 2001041612,   , BEST,   0,  90S, 1336E,  35,    0, TS
SH, 20, 2001041618,   , BEST,   0,  95S, 1326E,  35,    0, TS
SH, 20, 2001041700,   , BEST,   0, 101S, 1315E,  35,    0, TS
SH, 20, 2001041706,   , BEST,   0, 106S, 1304E,  40,    0, TS
SH, 20, 2001041712,   , BEST,   0, 111S, 1292E,  40,    0, TS
SH, 20, 2001041718,   , BEST,   0, 118S, 1281E,  45,    0, TS
SH, 20, 2001041800,   , BEST,   0, 126S, 1269E,  50,    0, TS
SH, 20, 2001041806,   , BEST,   0, 134S, 1256E,  50,    0, TS
SH, 20, 2001041812,   , BEST,   0, 142S, 1244E,  55,    0, TS
SH, 20, 2001041818,   , BEST,   0, 150S, 1232E,  60,    0, TS
SH, 20, 2001041900,   , BEST,   0, 159S, 1221E,  65,    0, TY
SH, 20, 2001041906,   , BEST,   0, 165S, 1210E,  65,    0, TY
SH, 20, 2001041912,   , BEST,   0, 170S, 1197E,  60,    0, TS
SH, 20, 2001041918,   , BEST,   0, 176S, 1180E,  55,    0, TS
SH, 20, 2001042000,   , BEST,   0, 180S, 1164E,  55,    0, TS
SH, 20, 2001042006,   , BEST,   0, 184S, 1148E,  45,    0, TS
SH, 20, 2001042012,   , BEST,   0, 188S, 1137E,  45,    0, TS
SH, 20, 2001042018,   , BEST,   0, 194S, 1128E,  40,    0, TS
SH, 20, 2001042100,   , BEST,   0, 200S, 1118E,  40,    0, TS
SH, 20, 2001042106,   , BEST,   0, 205S, 1107E,  35,    0, TS
SH, 20, 2001042112,   , BEST,   0, 211S, 1100E,  35,    0, TS
SH, 20, 2001042118,   , BEST,   0, 214S, 1096E,  25,    0, TD
SH, 20, 2001042200,   , BEST,   0, 219S, 1092E,  25,    0, TD
SH, 20, 2001042206,   , BEST,   0, 225S, 1090E,  25,    0, TD
SH, 20, 2001042212,   , BEST,   0, 231S, 1092E,  25,    0, TD
SH, 20, 2001042218,   , BEST,   0, 236S, 1095E,  25,    0, TD
SH, 20, 2001042300,   , BEST,   0, 241S, 1097E,  25,    0, TD
SH, 20, 2001042306,   , BEST,   0, 242S, 1103E,  25,    0, TD
SH, 20, 2001042312,   , BEST,   0, 240S, 1118E,  25,    0, TD
