SH, 18, 2006031800,   , BEST,   0, 139S, 1718E,  15, 1006, DB,   0,    ,    0,    0,    0,    0, 
SH, 18, 2006031806,   , BEST,   0, 145S, 1705E,  15, 1006, DB,   0,    ,    0,    0,    0,    0, 
SH, 18, 2006031812,   , BEST,   0, 147S, 1691E,  20, 1004, DB,   0,    ,    0,    0,    0,    0, 
SH, 18, 2006031818,   , BEST,   0, 148S, 1677E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 
SH, 18, 2006031900,   , BEST,   0, 153S, 1660E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 
SH, 18, 2006031906,   , BEST,   0, 156S, 1644E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  40,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 18, 2006031912,   , BEST,   0, 161S, 1629E,  45,  991, TS,  34, NEQ,   40,   50,   50,   40, 1008,  150,  40,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 18, 2006031918,   , BEST,   0, 169S, 1617E,  45,  991, TS,  34, NEQ,   40,   50,   50,   40, 1009,  125,  40,   0,   0,   P,   0,    ,   0,   0,       WATI, S, 
SH, 18, 2006032000,   , BEST,   0, 170S, 1602E,  55,  984, TS,  34, NEQ,   65,  100,   90,   65, 1009,  125,  10,   0,   0,   P,   0,    ,   0,   0,       WATI, D, 
SH, 18, 2006032000,   , BEST,   0, 170S, 1602E,  55,  984, TS,  50, NEQ,   15,   15,   15,   15, 1009,  125,  10,   0,   0,   P,   0,    ,   0,   0,       WATI, D, 
SH, 18, 2006032006,   , BEST,   0, 173S, 1589E,  55,  984, TS,  34, NEQ,   60,   70,   70,   60, 1006,  120,  10,   0,   0,   P,   0,    ,   0,   0,       WATI, M, 
SH, 18, 2006032006,   , BEST,   0, 173S, 1589E,  55,  984, TS,  50, NEQ,   15,   15,   15,   15, 1006,  120,  10,   0,   0,   P,   0,    ,   0,   0,       WATI, M, 
SH, 18, 2006032012,   , BEST,   0, 174S, 1577E,  55,  984, TS,  34, NEQ,   75,   80,   80,   75, 1006,  120,  10,   0,   0,   P,   0,    ,   0,   0,       WATI, M, 
SH, 18, 2006032012,   , BEST,   0, 174S, 1577E,  55,  984, TS,  50, NEQ,   15,   15,   15,   15, 1006,  120,  10,   0,   0,   P,   0,    ,   0,   0,       WATI, M, 
SH, 18, 2006032018,   , BEST,   0, 175S, 1565E,  55,  984, TS,  34, NEQ,   75,   80,   80,   75, 1005,  120,  10,   0,   0,   P,   0,    ,   0,   0,       WATI, M, 
SH, 18, 2006032018,   , BEST,   0, 175S, 1565E,  55,  984, TS,  50, NEQ,   15,   15,   15,   15, 1005,  120,  10,   0,   0,   P,   0,    ,   0,   0,       WATI, M, 
SH, 18, 2006032100,   , BEST,   0, 176S, 1556E,  55,  984, TS,  34, NEQ,  110,  120,   80,   60, 1006,  160,  15,   0,   0,   P,   0,    ,   0,   0,       WATI, M, 
SH, 18, 2006032100,   , BEST,   0, 176S, 1556E,  55,  984, TS,  50, NEQ,   20,   20,   20,   20, 1006,  160,  15,   0,   0,   P,   0,    ,   0,   0,       WATI, M, 
SH, 18, 2006032106,   , BEST,   0, 177S, 1549E,  65,  976, TY,  34, NEQ,  110,  120,   90,   90, 1004,  165,  20,   0,   0,   P,   0,    ,   0,   0,       WATI, D, 
SH, 18, 2006032106,   , BEST,   0, 177S, 1549E,  65,  976, TY,  50, NEQ,   30,   30,   30,   30, 1004,  165,  20,   0,   0,   P,   0,    ,   0,   0,       WATI, D, 
SH, 18, 2006032112,   , BEST,   0, 176S, 1542E,  65,  976, TY,  34, NEQ,   75,   95,   70,   75, 1005,  140,  15,   0,   0,   P,   0,    ,   0,   0,       WATI, D, 
