SH, 19, 2006031900,   , BEST,   0, 112S, 1185E,  15, 1006, DB,   0,    ,    0,    0,    0,    0, 
SH, 19, 2006031906,   , BEST,   0, 112S, 1183E,  20, 1007, TD,   0,    ,    0,    0,    0,    0, 
SH, 19, 2006031912,   , BEST,   0, 113S, 1180E,  20, 1007, TD,   0,    ,    0,    0,    0,    0, 
SH, 19, 2006031918,   , BEST,   0, 115S, 1177E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
SH, 19, 2006032000,   , BEST,   0, 116S, 1173E,  15, 1006, DB,   0,    ,    0,    0,    0,    0, 
SH, 19, 2006032006,   , BEST,   0, 118S, 1171E,  15, 1006, DB,   0,    ,    0,    0,    0,    0, 
SH, 19, 2006032012,   , BEST,   0, 120S, 1169E,  20, 1007, TD,   0,    ,    0,    0,    0,    0, 
SH, 19, 2006032018,   , BEST,   0, 121S, 1166E,  25, 1003, TD,   0,    ,    0,    0,    0,    0, 1005,  130,  50,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 19, 2006032100,   , BEST,   0, 123S, 1161E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1004,  100,  45,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 19, 2006032106,   , BEST,   0, 126S, 1155E,  40,  994, TS,  34, NEQ,   60,   90,   90,   75, 1004,  120,  40,   0,   0,   S,   0,    ,   0,   0,     INVEST, M, 
SH, 19, 2006032112,   , BEST,   0, 129S, 1149E,  40,  994, TS,  34, NEQ,   50,   55,   55,   55, 1005,  150,  40,   0,   0,   S,   0,    ,   0,   0,      FLOYD, M, 
SH, 19, 2006032118,   , BEST,   0, 132S, 1140E,  55,  984, TS,  34, NEQ,   60,   50,   50,   65, 1004,  160,  10,   0,   0,   S,   0,    ,   0,   0,      FLOYD, M, 
SH, 19, 2006032118,   , BEST,   0, 132S, 1140E,  55,  984, TS,  50, NEQ,   15,   15,   15,   15, 1004,  160,  10,   0,   0,   S,   0,    ,   0,   0,      FLOYD, M, 
SH, 19, 2006032200,   , BEST,   0, 133S, 1132E,  60,  980, TS,  34, NEQ,   60,   50,   50,   65, 1004,  160,  10,   0,   0,   S,   0,    ,   0,   0,      FLOYD, M, 
SH, 19, 2006032200,   , BEST,   0, 133S, 1132E,  60,  980, TS,  50, NEQ,   15,   15,   15,   15, 1004,  160,  10,   0,   0,   S,   0,    ,   0,   0,      FLOYD, M, 
SH, 19, 2006032206,   , BEST,   0, 132S, 1125E,  60,  978, TS,  34, NEQ,   65,   50,   50,   65, 1003,  165,  15,   0,   0,   S,   0,    ,   0,   0,      FLOYD, D, 
SH, 19, 2006032206,   , BEST,   0, 132S, 1125E,  60,  978, TS,  50, NEQ,   25,   25,   25,   25, 1003,  165,  15,   0,   0,   S,   0,    ,   0,   0,      FLOYD, D, 
SH, 19, 2006032212,   , BEST,   0, 132S, 1118E,  70,  970, TY,  34, NEQ,   75,   60,   60,   75, 1003,  155,  10,   0,   0,   S,   0,    ,   0,   0,      FLOYD, D, 
SH, 19, 2006032212,   , BEST,   0, 132S, 1118E,  70,  970, TY,  50, NEQ,   30,   30,   30,   30, 1003,  155,  10,   0,   0,   S,   0,    ,   0,   0,      FLOYD, D, 
SH, 19, 2006032212,   , BEST,   0, 132S, 1118E,  70,  970, TY,  64, NEQ,   20,   20,   20,   20, 1003,  155,  10,   0,   0,   S,   0,    ,   0,   0,      FLOYD, D, 
SH, 19, 2006032218,   , BEST,   0, 132S, 1110E,  75,  967, TY,  34, NEQ,   75,  110,  110,   75, 1003,  155,  10,   0,   0,   S,   0,    ,   0,   0,      FLOYD, D, 
SH, 19, 2006032218,   , BEST,   0, 132S, 1110E,  75,  967, TY,  50, NEQ,   30,   30,   30,   30, 1003,  155,  10,   0,   0,   S,   0,    ,   0,   0,      FLOYD, D, 
SH, 19, 2006032218,   , BEST,   0, 132S, 1110E,  75,  967, TY,  64, NEQ,   20,   20,   20,   20, 1003,  155,  10,   0,   0,   S,   0,    ,   0,   0,      FLOYD, D, 
SH, 19, 2006032300,   , BEST,   0, 133S, 1103E,  75,  967, TY,  34, NEQ,   75,  110,  110,   75, 1003,  155,  10,   0,   0,   S,   0,    ,   0,   0,      FLOYD, D, 
SH, 19, 2006032300,   , BEST,   0, 133S, 1103E,  75,  967, TY,  50, NEQ,   30,   30,   30,   30, 1003,  155,  10,   0,   0,   S,   0,    ,   0,   0,      FLOYD, D, 
SH, 19, 2006032300,   , BEST,   0, 133S, 1103E,  75,  967, TY,  64, NEQ,   20,   20,   20,   20, 1003,  155,  10,   0,   0,   S,   0,    ,   0,   0,      FLOYD, D, 
