SH, 12, 2008011512,   , BEST,   0, 154S, 1628E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
SH, 12, 2008011518,   , BEST,   0, 154S, 1631E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  140,  40,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 12, 2008011600,   , BEST,   0, 153S, 1637E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1005,  150,  40,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 12, 2008011606,   , BEST,   0, 150S, 1646E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 
SH, 12, 2008011612,   , BEST,   0, 148S, 1657E,  45,  989, TS,  34, NEQ,   55,   55,   45,   45, 1005,  150,  40,   0,   0,   P,   0,    ,   0,   0,       FUNA, M, 
SH, 12, 2008011618,   , BEST,   0, 149S, 1671E,  55,  982, TS,  34, NEQ,   70,   65,   65,   70, 1005,  150,  50,   0,   0,   P,   0,    ,   0,   0,       FUNA, M, 
SH, 12, 2008011618,   , BEST,   0, 149S, 1671E,  55,  982, TS,  50, NEQ,   25,   25,   25,   25, 1005,  150,  50,   0,   0,   P,   0,    ,   0,   0,       FUNA, M, 
SH, 12, 2008011700,   , BEST,   0, 151S, 1682E,  55,  982, TS,  34, NEQ,   80,   75,   70,   75, 1002,  210,  30,   0,   0,   P,   0,    ,   0,   0,       FUNA, M, 
SH, 12, 2008011700,   , BEST,   0, 151S, 1682E,  55,  982, TS,  50, NEQ,   30,   30,   30,   30, 1002,  210,  30,   0,   0,   P,   0,    ,   0,   0,       FUNA, M, 
SH, 12, 2008011706,   , BEST,   0, 155S, 1692E,  60,  978, TS,  34, NEQ,   75,   65,   60,   65, 1003,  215,  25,   0,   0,   P,   0,    ,   0,   0,       FUNA, M, 
SH, 12, 2008011706,   , BEST,   0, 155S, 1692E,  60,  978, TS,  50, NEQ,   30,   30,   30,   30, 1003,  215,  25,   0,   0,   P,   0,    ,   0,   0,       FUNA, M, 
SH, 12, 2008011712,   , BEST,   0, 160S, 1703E,  65,  974, TY,  34, NEQ,   75,   65,   60,   65, 1003,  215,  25,   0,   0,   P,   0,    ,   0,   0,       FUNA, M, 
SH, 12, 2008011712,   , BEST,   0, 160S, 1703E,  65,  974, TY,  50, NEQ,   30,   30,   30,   30, 1003,  215,  25,   0,   0,   P,   0,    ,   0,   0,       FUNA, M, 
SH, 12, 2008011718,   , BEST,   0, 167S, 1713E,  70,  970, TY,  34, NEQ,  100,   85,   70,   80, 1002,  245,  25,   0,   0,   P,   0,    ,   0,   0,       FUNA, D, 
SH, 12, 2008011718,   , BEST,   0, 167S, 1713E,  70,  970, TY,  50, NEQ,   50,   45,   40,   50, 1002,  245,  25,   0,   0,   P,   0,    ,   0,   0,       FUNA, D, 
SH, 12, 2008011718,   , BEST,   0, 167S, 1713E,  70,  970, TY,  64, NEQ,   25,   25,   25,   25, 1002,  245,  25,   0,   0,   P,   0,    ,   0,   0,       FUNA, D, 
SH, 12, 2008011800,   , BEST,   0, 174S, 1722E,  75,  967, TY,  34, NEQ,  140,  130,  130,  145, 1001,  280,  15,   0,  10,   P,   0,    ,   0,   0,       FUNA, D, 
SH, 12, 2008011800,   , BEST,   0, 174S, 1722E,  75,  967, TY,  50, NEQ,   65,   55,   55,   65, 1001,  280,  15,   0,  10,   P,   0,    ,   0,   0,       FUNA, D, 
SH, 12, 2008011800,   , BEST,   0, 174S, 1722E,  75,  967, TY,  64, NEQ,   30,   30,   25,   30, 1001,  280,  15,   0,  10,   P,   0,    ,   0,   0,       FUNA, D, 
SH, 12, 2008011806,   , BEST,   0, 182S, 1730E,  80,  963, TY,  34, NEQ,  140,  130,  130,  145, 1000,  280,  15,   0,   0,   P,   0,    ,   0,   0,       FUNA, D, 
SH, 12, 2008011806,   , BEST,   0, 182S, 1730E,  80,  963, TY,  50, NEQ,   65,   55,   55,   65, 1000,  280,  15,   0,   0,   P,   0,    ,   0,   0,       FUNA, D, 
SH, 12, 2008011806,   , BEST,   0, 182S, 1730E,  80,  963, TY,  64, NEQ,   40,   35,   35,   40, 1000,  280,  15,   0,   0,   P,   0,    ,   0,   0,       FUNA, D, 
SH, 12, 2008011812,   , BEST,   0, 188S, 1736E,  90,  956, TY,  34, NEQ,  145,  135,  130,  150, 1001,  225,  15,   0,   0,   P,   0,    ,   0,   0,       FUNA, D, 
SH, 12, 2008011812,   , BEST,   0, 188S, 1736E,  90,  956, TY,  50, NEQ,   70,   60,   60,   70, 1001,  225,  15,   0,   0,   P,   0,    ,   0,   0,       FUNA, D, 
