SH, 14, 2008012600,   , BEST,   0, 102S,  619E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1006,  140,  40,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 14, 2008012606,   , BEST,   0, 109S,  620E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1007,  160,  30,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 14, 2008012612,   , BEST,   0, 115S,  621E,  25, 1003, TD,   0,    ,    0,    0,    0,    0, 1007,  150,  30,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 14, 2008012618,   , BEST,   0, 121S,  622E,  30, 1001, TD,   0,    ,    0,    0,    0,    0, 1008,  180,  40,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 14, 2008012700,   , BEST,   0, 127S,  624E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1007,  250,  40,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 14, 2008012706,   , BEST,   0, 133S,  626E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1007,  250,  35,   0,   0,   S,   0,    ,   0,   0,     NONAME, S, 
SH, 14, 2008012712,   , BEST,   0, 138S,  628E,  40,  993, TS,  34, NEQ,   35,   35,   25,   25, 1008,  255,  30,   0,   0,   S,   0,    ,   0,   0,     NONAME, S, 
SH, 14, 2008012718,   , BEST,   0, 143S,  628E,  45,  989, TS,  34, NEQ,   45,   45,   40,   40, 1006,  230,  30,   0,   0,   S,   0,    ,   0,   0,       GULA, S, 
SH, 14, 2008012800,   , BEST,   0, 146S,  627E,  50,  985, TS,  34, NEQ,   60,   60,   55,   55, 1007,  250,  30,   0,   0,   S,   0,    ,   0,   0,       GULA, M, 
SH, 14, 2008012806,   , BEST,   0, 148S,  625E,  55,  982, TS,  34, NEQ,   80,   80,   70,   65, 1008,  250,  25,   0,   0,   S,   0,    ,   0,   0,       GULA, M, 
SH, 14, 2008012806,   , BEST,   0, 148S,  625E,  55,  982, TS,  50, NEQ,   50,   50,   45,   45, 1008,  250,  25,   0,   0,   S,   0,    ,   0,   0,       GULA, M, 
SH, 14, 2008012812,   , BEST,   0, 148S,  622E,  65,  974, TY,  34, NEQ,   80,   80,   70,   65, 1009,  250,  25,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008012812,   , BEST,   0, 148S,  622E,  65,  974, TY,  50, NEQ,   45,   45,   40,   40, 1009,  250,  25,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008012818,   , BEST,   0, 147S,  620E,  70,  970, TY,  34, NEQ,   85,   70,   70,   70, 1007,  240,  20,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008012818,   , BEST,   0, 147S,  620E,  70,  970, TY,  50, NEQ,   35,   40,   40,   35, 1007,  240,  20,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008012818,   , BEST,   0, 147S,  620E,  70,  970, TY,  64, NEQ,   20,   20,   20,   20, 1007,  240,  20,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008012900,   , BEST,   0, 147S,  618E,  85,  959, TY,  34, NEQ,   95,   85,   85,   85, 1008,  260,  20,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008012900,   , BEST,   0, 147S,  618E,  85,  959, TY,  50, NEQ,   50,   55,   55,   40, 1008,  260,  20,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008012900,   , BEST,   0, 147S,  618E,  85,  959, TY,  64, NEQ,   20,   35,   35,   20, 1008,  260,  20,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008012906,   , BEST,   0, 147S,  615E,  90,  956, TY,  34, NEQ,  100,   90,   90,   90, 1008,  260,  20,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008012906,   , BEST,   0, 147S,  615E,  90,  956, TY,  50, NEQ,   55,   60,   60,   45, 1008,  260,  20,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008012906,   , BEST,   0, 147S,  615E,  90,  956, TY,  64, NEQ,   25,   35,   35,   25, 1008,  260,  20,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008012912,   , BEST,   0, 148S,  611E,  90,  956, TY,  34, NEQ,  100,   90,   90,   90, 1008,  260,  20,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008012912,   , BEST,   0, 148S,  611E,  90,  956, TY,  50, NEQ,   55,   55,   45,   45, 1008,  260,  20,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008012912,   , BEST,   0, 148S,  611E,  90,  956, TY,  64, NEQ,   25,   25,   25,   25, 1008,  260,  20,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008012918,   , BEST,   0, 149S,  607E,  85,  959, TY,  34, NEQ,  120,  150,  125,  100, 1008,  260,  20,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008012918,   , BEST,   0, 149S,  607E,  85,  959, TY,  50, NEQ,   45,   50,   50,   45, 1008,  260,  20,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008012918,   , BEST,   0, 149S,  607E,  85,  959, TY,  64, NEQ,   25,   25,   25,   25, 1008,  260,  20,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008013000,   , BEST,   0, 153S,  602E,  80,  963, TY,  34, NEQ,  125,  165,  150,   95, 1007,  240,  20,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008013000,   , BEST,   0, 153S,  602E,  80,  963, TY,  50, NEQ,   55,   60,   60,   45, 1007,  240,  20,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008013000,   , BEST,   0, 153S,  602E,  80,  963, TY,  64, NEQ,   30,   40,   40,   25, 1007,  240,  20,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008013006,   , BEST,   0, 159S,  601E,  75,  967, TY,  34, NEQ,  125,  165,  150,  150, 1007,  240,  20,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008013006,   , BEST,   0, 159S,  601E,  75,  967, TY,  50, NEQ,   55,   60,   60,   55, 1007,  240,  20,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008013006,   , BEST,   0, 159S,  601E,  75,  967, TY,  64, NEQ,   30,   40,   40,   30, 1007,  240,  20,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008013012,   , BEST,   0, 165S,  600E,  70,  970, TY,  34, NEQ,  125,  165,  150,  150, 1007,  240,  25,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008013012,   , BEST,   0, 165S,  600E,  70,  970, TY,  50, NEQ,   55,   60,   60,   45, 1007,  240,  25,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008013012,   , BEST,   0, 165S,  600E,  70,  970, TY,  64, NEQ,   30,   40,   40,   30, 1007,  240,  25,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008013018,   , BEST,   0, 174S,  597E,  60,  978, TS,  34, NEQ,  130,  150,  140,  145, 1005,  200,  25,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008013018,   , BEST,   0, 174S,  597E,  60,  978, TS,  50, NEQ,   55,   60,   60,   45, 1005,  200,  25,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008013100,   , BEST,   0, 185S,  595E,  55,  982, TS,  34, NEQ,  130,  150,  140,  145, 1006,  200,  25,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
SH, 14, 2008013100,   , BEST,   0, 185S,  595E,  55,  982, TS,  50, NEQ,   55,   60,   60,   50, 1006,  200,  25,   0,   0,   S,   0,    ,   0,   0,       GULA, D, 
