SH, 19, 2008021018,   , BEST,   0, 160S, 1222E,  15, 1008, DB,   0,    ,    0,    0,    0,    0, 
SH, 19, 2008021100,   , BEST,   0, 160S, 1217E,  25,  997, TD,   0,    ,    0,    0,    0,    0, 1011,  150,  15,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 19, 2008021106,   , BEST,   0, 159S, 1212E,  25,  997, TD,   0,    ,    0,    0,    0,    0, 1000,  160,  15,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 19, 2008021112,   , BEST,   0, 157S, 1209E,  25,  996, TD,   0,    ,    0,    0,    0,    0, 1000,  160,  25,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 19, 2008021118,   , BEST,   0, 155S, 1207E,  25,  996, TD,   0,    ,    0,    0,    0,    0, 1005,  160,  25,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 19, 2008021200,   , BEST,   0, 153S, 1205E,  25,  996, TD,   0,    ,    0,    0,    0,    0, 1005,  160,  25,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 19, 2008021206,   , BEST,   0, 152S, 1204E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1005,  170,  30,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 19, 2008021212,   , BEST,   0, 150S, 1204E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1005,  170,  30,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 19, 2008021218,   , BEST,   0, 148S, 1205E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1005,  150,  30,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 19, 2008021300,   , BEST,   0, 147S, 1207E,  40,  993, TS,  34, NEQ,   60,   65,   70,   60, 1005,  150,  30,   0,   0,   S,   0,    ,   0,   0,     NONAME, S, 
SH, 19, 2008021306,   , BEST,   0, 147S, 1210E,  40,  993, TS,  34, NEQ,   60,   65,   70,   60, 1000,  170,  30,   0,   0,   S,   0,    ,   0,   0,   NICHOLAS, S, 
SH, 19, 2008021312,   , BEST,   0, 149S, 1213E,  45,  989, TS,  34, NEQ,   70,   75,   85,   70, 1000,  170,  35,   0,   0,   S,   0,    ,   0,   0,   NICHOLAS, S, 
SH, 19, 2008021318,   , BEST,   0, 153S, 1213E,  45,  989, TS,  34, NEQ,   75,   70,   70,   75, 1001,  175,  35,   0,   0,   S,   0,    ,   0,   0,   NICHOLAS, S, 
SH, 19, 2008021400,   , BEST,   0, 157S, 1210E,  50,  985, TS,  34, NEQ,   75,   70,   70,   75, 1001,  175,  35,   0,   0,   S,   0,    ,   0,   0,   NICHOLAS, S, 
SH, 19, 2008021406,   , BEST,   0, 159S, 1207E,  60,  978, TS,  34, NEQ,   90,   90,   80,   75, 1004,  260,  20,   0,   0,   S,   0,    ,   0,   0,   NICHOLAS, M, 
SH, 19, 2008021406,   , BEST,   0, 159S, 1207E,  60,  978, TS,  50, NEQ,   25,   25,   25,   25, 1004,  260,  20,   0,   0,   S,   0,    ,   0,   0,   NICHOLAS, M, 
SH, 19, 2008021412,   , BEST,   0, 161S, 1203E,  65,  974, TY,  34, NEQ,   95,  105,  105,   95, 1004,  270,  20,   0,   0,   S,   0,    ,   0,   0,   NICHOLAS, M, 
SH, 19, 2008021412,   , BEST,   0, 161S, 1203E,  65,  974, TY,  50, NEQ,   45,   45,   45,   45, 1004,  270,  20,   0,   0,   S,   0,    ,   0,   0,   NICHOLAS, M, 
SH, 19, 2008021412,   , BEST,   0, 161S, 1203E,  65,  974, TY,  64, NEQ,   20,   20,   20,   20, 1004,  270,  20,   0,   0,   S,   0,    ,   0,   0,   NICHOLAS, M, 
SH, 19, 2008021418,   , BEST,   0, 159S, 1199E,  65,  974, TY,  34, NEQ,  100,  115,  115,  120, 1004,  250,  30,   0,   0,   S,   0,    ,   0,   0,   NICHOLAS, M, 
SH, 19, 2008021418,   , BEST,   0, 159S, 1199E,  65,  974, TY,  50, NEQ,   45,   55,   55,   50, 1004,  250,  30,   0,   0,   S,   0,    ,   0,   0,   NICHOLAS, M, 
SH, 19, 2008021418,   , BEST,   0, 159S, 1199E,  65,  974, TY,  64, NEQ,   20,   40,   40,   30, 1004,  250,  30,   0,   0,   S,   0,    ,   0,   0,   NICHOLAS, M, 
SH, 19, 2008021500,   , BEST,   0, 157S, 1197E,  65,  974, TY,  34, NEQ,  120,  130,  110,  120, 1004,  250,  30,   0,   0,   S,   0,    ,   0,   0,   NICHOLAS, M, 
SH, 19, 2008021500,   , BEST,   0, 157S, 1197E,  65,  974, TY,  50, NEQ,   40,   45,   50,   50, 1004,  250,  30,   0,   0,   S,   0,    ,   0,   0,   NICHOLAS, M, 
SH, 19, 2008021500,   , BEST,   0, 157S, 1197E,  65,  974, TY,  64, NEQ,   30,   30,   30,   30, 1004,  250,  30,   0,   0,   S,   0,    ,   0,   0,   NICHOLAS, M, 
SH, 19, 2008021506,   , BEST,   0, 160S, 1194E,  65,  974, TY,  34, NEQ,  120,  130,  110,  120, 1004,  250,  25,   0,   0,   S,   0,    ,   0,   0,   NICHOLAS, M, 
SH, 19, 2008021506,   , BEST,   0, 160S, 1194E,  65,  974, TY,  50, NEQ,   40,   45,   55,   50, 1004,  250,  25,   0,   0,   S,   0,    ,   0,   0,   NICHOLAS, M, 
SH, 19, 2008021506,   , BEST,   0, 160S, 1194E,  65,  974, TY,  64, NEQ,   25,   25,   25,   25, 1004,  250,  25,   0,   0,   S,   0,    ,   0,   0,   NICHOLAS, M, 
SH, 19, 2008021512,   , BEST,   0, 162S, 1189E,  70,  970, TY,  34, NEQ,  120,  130,  110,  120, 1004,  250,  20,   0,   0,   S,   0,    ,   0,   0,   NICHOLAS, D, 
SH, 19, 2008021512,   , BEST,   0, 162S, 1189E,  70,  970, TY,  50, NEQ,   40,   45,   55,   50, 1004,  250,  20,   0,   0,   S,   0,    ,   0,   0,   NICHOLAS, D, 
