WP, 07, 2000071100,   , BEST,   0, 100N, 1306E,  20,    0, TD
WP, 07, 2000071106,   , BEST,   0, 110N, 1298E,  20,    0, TD
WP, 07, 2000071112,   , BEST,   0, 121N, 1286E,  25,    0, TD
WP, 07, 2000071118,   , BEST,   0, 127N, 1282E,  25,    0, TD
WP, 07, 2000071200,   , BEST,   0, 132N, 1279E,  25,    0, TD
WP, 07, 2000071206,   , BEST,   0, 138N, 1277E,  25,    0, TD
WP, 07, 2000071212,   , BEST,   0, 144N, 1269E,  25,    0, TD
WP, 07, 2000071218,   , BEST,   0, 149N, 1257E,  25,    0, TD
WP, 07, 2000071300,   , BEST,   0, 152N, 1246E,  25,    0, TD
WP, 07, 2000071306,   , BEST,   0, 154N, 1237E,  25,    0, TD
WP, 07, 2000071312,   , BEST,   0, 155N, 1230E,  25,    0, TD
WP, 07, 2000071318,   , BEST,   0, 157N, 1222E,  25,    0, TD
WP, 07, 2000071400,   , BEST,   0, 159N, 1213E,  25,    0, TD
WP, 07, 2000071406,   , BEST,   0, 161N, 1203E,  25,    0, TD
WP, 07, 2000071412,   , BEST,   0, 168N, 1189E,  30,    0, TD
WP, 07, 2000071418,   , BEST,   0, 172N, 1167E,  30,    0, TD
WP, 07, 2000071500,   , BEST,   0, 172N, 1139E,  30,    0, TD
