WP, 31, 2000103018,   , BEST,   0,  68N, 1345E,  25,    0, TD
WP, 31, 2000103100,   , BEST,   0,  79N, 1334E,  25,    0, TD
WP, 31, 2000103106,   , BEST,   0,  88N, 1322E,  25,    0, TD
WP, 31, 2000103112,   , BEST,   0,  95N, 1310E,  25,    0, TD
WP, 31, 2000103118,   , BEST,   0, 100N, 1300E,  25,    0, TD
WP, 31, 2000110100,   , BEST,   0, 106N, 1291E,  35,    0, TS
WP, 31, 2000110106,   , BEST,   0, 113N, 1282E,  35,    0, TS
WP, 31, 2000110112,   , BEST,   0, 121N, 1269E,  45,    0, TS
WP, 31, 2000110118,   , BEST,   0, 128N, 1260E,  55,    0, TS
WP, 31, 2000110200,   , BEST,   0, 135N, 1248E,  65,    0, TY
WP, 31, 2000110206,   , BEST,   0, 141N, 1235E,  75,    0, TY
WP, 31, 2000110212,   , BEST,   0, 144N, 1224E,  85,    0, TY
WP, 31, 2000110218,   , BEST,   0, 145N, 1214E,  85,    0, TY
WP, 31, 2000110300,   , BEST,   0, 147N, 1204E,  75,    0, TY
WP, 31, 2000110306,   , BEST,   0, 150N, 1196E,  65,    0, TY
WP, 31, 2000110312,   , BEST,   0, 153N, 1190E,  55,    0, TS
WP, 31, 2000110318,   , BEST,   0, 158N, 1183E,  50,    0, TS
WP, 31, 2000110400,   , BEST,   0, 161N, 1178E,  55,    0, TS
WP, 31, 2000110406,   , BEST,   0, 165N, 1174E,  55,    0, TS
WP, 31, 2000110412,   , BEST,   0, 168N, 1171E,  55,    0, TS
WP, 31, 2000110418,   , BEST,   0, 170N, 1170E,  55,    0, TS
WP, 31, 2000110500,   , BEST,   0, 174N, 1169E,  55,    0, TS
WP, 31, 2000110506,   , BEST,   0, 179N, 1169E,  60,    0, TS
WP, 31, 2000110512,   , BEST,   0, 185N, 1169E,  65,    0, TY
WP, 31, 2000110518,   , BEST,   0, 190N, 1169E,  65,    0, TY
WP, 31, 2000110600,   , BEST,   0, 195N, 1169E,  65,    0, TY
WP, 31, 2000110606,   , BEST,   0, 199N, 1168E,  65,    0, TY
WP, 31, 2000110612,   , BEST,   0, 201N, 1166E,  45,    0, TS
WP, 31, 2000110618,   , BEST,   0, 202N, 1162E,  35,    0, TS
WP, 31, 2000110700,   , BEST,   0, 204N, 1156E,  30,    0, TD
WP, 31, 2000110706,   , BEST,   0, 207N, 1149E,  25,    0, TD
WP, 31, 2000110712,   , BEST,   0, 210N, 1142E,  25,    0, TD
WP, 31, 2000110718,   , BEST,   0, 213N, 1135E,  25,    0, TD
WP, 31, 2000110800,   , BEST,   0, 215N, 1129E,  20,    0, TD
